date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:44	161930/161930	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jun%202024%2014:52:44%20GMT	https://www.djishop.cz/	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/index.html	(from )
16:52:44	506/506	---M-Z	200	added ('OK')	text/plain	date:Tue,%2020%20Apr%202021%2006:03:42%20GMT	https://www.djishop.cz/robots.txt		(from )
16:52:44	32038/32038	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Mon,%2029%20Mar%202021%2012:15:24%20GMT	https://www.djishop.cz/favicon.ico	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/favicon.ico	(from https://www.djishop.cz/)
16:52:44	8737/8737	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Jun%202024%2017:11:56%20GMT	https://www.djishop.cz/out/djicesko2/src/css/libs/oxmailingpopup.css?1718903516	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/out/djicesko2/src/css/libs/oxmailingpopup4348.css	(from https://www.djishop.cz/)
16:52:44	232379/232379	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202024%2007:37:24%20GMT	https://www.djishop.cz/out/djicesko2/src/css/styles.css?152	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/out/djicesko2/src/css/styles37a7.css	(from https://www.djishop.cz/)
16:52:45	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Mar%202021%2012:15:05%20GMT	https://www.djishop.cz/out/djicesko/src/js/libs/jquery.min.js?1	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/out/djicesko/src/js/libs/jquery.minc4ca.js	(from https://www.djishop.cz/)
16:52:45	176380/176380	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20Jun%202024%2014:52:45%20GMT	https://www.djishop.cz/rss/dji-shop/nejnovejsi-zbozi/	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/rss/dji-shop/nejnovejsi-zbozi/index.html	(from https://www.djishop.cz/)
16:52:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Jun%202024%2014:52:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.googletagmanager.com/gtm.45445.delayed	(from https://www.djishop.cz/)
16:52:45	782/782	---M--	200	added ('OK')	image/png	date:Fri,%2010%20May%202024%2018:42:00%20GMT	https://www.djishop.cz/out/djicesko2/img/close3.png	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/out/djicesko2/img/close3.png	(from https://www.djishop.cz/)
16:52:45	2088/2088	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Jun%202024%2014:48:08%20GMT	https://www.djishop.cz/out/djicesko2/img/dji-logo-wht.svg	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/out/djicesko2/img/dji-logo-wht.svg	(from https://www.djishop.cz/)
16:52:45	236/236	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Jun%202024%2014:52:45%20GMT	https://www.djishop.cz/blog	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/blog	(from https://www.djishop.cz/)
16:52:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Jun%202024%2014:52:46%20GMT	http://www.djishop.cz/index.php?cl=search&searchparam={searchparam}	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/index.8e5db.delayed	(from https://www.djishop.cz/)
16:52:46	43154/43154	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jun%202024%2014:52:46%20GMT	https://www.djishop.cz/letni-vyprodej/	C:/Users/Ondra/OneDrive/Desktop/trtrack/djistore/dji%20store/www.djishop.cz/letni-vyprodej/index.html	(from https://www.djishop.cz/)
